Reference No.,Tendering Procedure,Title or Scope,Contractor(s) and Address(es),Item/Quantity,Awarded Amount,Date Awarded,Source_File,Year,Source_Month,Source_URL
1125,Selective,Police Sports & Recreation Club Enhancement Works,"Sun Fook Kong Construction LtdRoom 3207-10, 32/F, Great Eagle Centre,23 Harbour Road,Wanchsi,Hong Kong.",1 Job,"HK$297,000,000",13 Dec 2013,MTR_Tender_Dec13_table1.csv,2013,Dec13,https://www.mtr.com.hk/en/corporate/tenders/Dec13.html
1151,Limited,Rolling Stock Modification and New Train Cars for SCL Phase 1,"Itochu-Kinki Sharyo-Kawasaki Consortium28th Floor, United Centre,95 Queensway,Hong Kong.",Not Applicable,"HK$1,643,176,041",11 Dec 2013,MTR_Tender_Dec13_table1.csv,2013,Dec13,https://www.mtr.com.hk/en/corporate/tenders/Dec13.html
1141A,Selective,New Rolling Stock for SCL Phase 1,"Changchun Railway Vehicles Co., Ltd.No. 435 Qingyin Road,Changchun 130062,China.",Not Applicable,"HK$833,351,574",11 Dec 2013,MTR_Tender_Dec13_table1.csv,2013,Dec13,https://www.mtr.com.hk/en/corporate/tenders/Dec13.html
M1057-13E,Selective,Maintenance Services for UPS and CBS,"Schneider Electric IT Hong Kong Ltd13/F., East Wing, Warwick House,Tai Koo Place,979 King's Road,Quarry Bay, Hong Kong.",Not Applicable,"HK$19,954,788",23 Dec 2013,MTR_Tender_Dec13_table1.csv,2013,Dec13,https://www.mtr.com.hk/en/corporate/tenders/Dec13.html
M1068-13E,Selective,"Maintenance Services for ECS and SBCS for AEL, TCL and DRL","Thales Transport & Security (Hong Kong) LtdUnit 908-909, New Kowloon Plaza,38 Tai Kok Tsui Road,Kowloon, Hong Kong.",Not Applicable,"HK$3,635,232",24 Dec 2013,MTR_Tender_Dec13_table1.csv,2013,Dec13,https://www.mtr.com.hk/en/corporate/tenders/Dec13.html
M1069-13C(A),Selective,Maintenance Services for Landscaping (Package A),"Melofield Nursery and Landscaping Contractor LtdBlock B, Room 1402, 14/F, Hop Yick Plaza,No. 2 Mun Tan Street,Yuen Long,New Territories, Hong Kong.",Not Applicable,"HK$16,880,613",31 Dec 2013,MTR_Tender_Dec13_table1.csv,2013,Dec13,https://www.mtr.com.hk/en/corporate/tenders/Dec13.html
M1069-13C(B),Selective,Maintenance Services for Landscaping (Package B),"C.K. Garden Co. LtdUnit B22, Block B, 6/F., Cambridge Plaza,188 San Wan Road,Sheung Shui,New Territories, Hong Kong.",Not Applicable,"HK$8,978,082",24 Dec 2013,MTR_Tender_Dec13_table1.csv,2013,Dec13,https://www.mtr.com.hk/en/corporate/tenders/Dec13.html
M1069-13C(C),Selective,Maintenance Services for Landscaping (Package C),"City Landscaping Co. LtdB8, 1/F., Block B, Sheung Shui Plaza,3 Ka Fu Close,Yuen Long,New Territories, Hong Kong.",Not Applicable,"HK$11,572,170",30 Dec 2013,MTR_Tender_Dec13_table1.csv,2013,Dec13,https://www.mtr.com.hk/en/corporate/tenders/Dec13.html
M1070-13C,Selective,Ecological Monitoring and Adaptive Management Services for Lok Ma Chau and West Rail Wetlands,"AEC LimitedRm 121-127 Commercial Centre,Palm Springs,Yuen Long,New Territories, Hong Kong.",Not Applicable,Not Disclose,23 Dec 2013,MTR_Tender_Dec13_table1.csv,2013,Dec13,https://www.mtr.com.hk/en/corporate/tenders/Dec13.html
1155,Selective,Shatin to Central Link: Power Supply System and Trackside Auxiliaries for SCL Phase 1,"GTECH-KUM SHING Joint VentureRoom 2403-08, 24/F, C C Wu Building,302-308 Hennessy Road,Wanchai,Hong Kong.",Not Applicable,"HK$203,380,000",5 Jun 2013,MTR_Tender_Jun13_table1.csv,2013,Jun13,https://www.mtr.com.hk/en/corporate/tenders/Jun13.html
C3745-12E,Selective,"Replacement of Passenger Information Display System in ISL, KTL and TWL","Itochu Hong Kong Ltd28/F, United Centre,95 Queensway,Admiralty,Hong Kong.",Not Applicable,"HK$69,600,000",4 Jun 2013,MTR_Tender_Jun13_table1.csv,2013,Jun13,https://www.mtr.com.hk/en/corporate/tenders/Jun13.html
815F,Selective,Public Toilet Fit-Out Works for West Kowloon Terminus,"Wan Chung Construction Co LtdFlat 2A, Fuk On Building,1123 Canton Road,Mongkok,Kowloon, Hong Kong.ã",Not Applicable,"HK$53,100,357",04 Sep 2013,MTR_Tender_Sep13_table1.csv,2013,Sep13,https://www.mtr.com.hk/en/corporate/tenders/Sep13.html
1172,Selective,Escalators for SCL Phase 1,"ThyssenKrupp Elevator (HK) LtdUnits 605-606, Hilder Centre,2 Sung Ping Street,Hunghom,Kowloon, Hong Kong.ã",Not Applicable,"HK$180,438,081",05 Sep 2013,MTR_Tender_Sep13_table1.csv,2013,Sep13,https://www.mtr.com.hk/en/corporate/tenders/Sep13.html
AiSA/053,Limited,Provision of Artwork at Kennedy Town Station,"Mr. Lao U KeiRoom 2219, Hin Yeung House,Hin Keng Estate,Shatin,New Territories, Hong Kong.ã",Not Applicable,"HK$1,070,000",19 Sep 2013,MTR_Tender_Sep13_table1.csv,2013,Sep13,https://www.mtr.com.hk/en/corporate/tenders/Sep13.html
Q027111,Selective,Supply of Power Cables and Tinned Copper Tape,"Keystone Electric Wire & Cable Co LtdDD 83, No. 110,Kwan Ti North Village,Fanling,New Territories, Hong Kong.ã",Not Applicable,"HK$7,166,380",11 Sep 2013,MTR_Tender_Sep13_table1.csv,2013,Sep13,https://www.mtr.com.hk/en/corporate/tenders/Sep13.html
Q027334,Selective,"Renovation Works for The Edge, Tseung Kwan O","Sun Fook Kong Construction LtdRoom 3207-10, Great Eagle Centre,23 Harbour Road,Wanchai,Hong Kong.ã",Not Applicable,"HK$17,821,333",11 Sep 2013,MTR_Tender_Sep13_table1.csv,2013,Sep13,https://www.mtr.com.hk/en/corporate/tenders/Sep13.html
Q028541,Selective,Provision of Dental Services,"Bayley & Jackson Dental Surgeons LtdPodium Level, 2/F, Room 210-216, Jardine House,1 Connaught Place,Central,Hong Kong.ã",Not Applicable,Not Disclosed,27 Sep 2013,MTR_Tender_Sep13_table1.csv,2013,Sep13,https://www.mtr.com.hk/en/corporate/tenders/Sep13.html
M1035-11E,Selective,Maintenance Services for Mimic Display Panel System in Tsing Yi OCC,"Media-Go Engineering Ltd25/F, Westin Centre,26 Hung To Road,Kwun Tong,Kowloon, Hong Kong.",Not Applicable,"HK$5,356,630",22 Feb 2013,MTR_Tender_Feb13_table1.csv,2013,Feb13,https://www.mtr.com.hk/en/corporate/tenders/Feb13.html
Q023860,Selective,"Supply, Installation & Maintenance of SAN Storage System","Global Technology Integrator Ltd8/F Yen Sheng Center,64 Hoi Yuen Road,Kwun Tong,Kowloon, Hong Kong.",1 Year,"HK$9,932,580",4 Feb 2013,MTR_Tender_Feb13_table1.csv,2013,Feb13,https://www.mtr.com.hk/en/corporate/tenders/Feb13.html
Q024365,Selective,Provision of Advertising Agency Services for Promotion Campaigns,"Two Hundred Ltd5/F, 13 Lan Fong Road,Causeway Bay,Hong Kong.",2 Years,Not Disclosed,8 Feb 2013,MTR_Tender_Feb13_table1.csv,2013,Feb13,https://www.mtr.com.hk/en/corporate/tenders/Feb13.html
812,Selective,Soft Landscaping Works for West Kowloon Terminus,"Yee Sun Garden LtdShop G903, G/F, Tung Hoi Mansion,8 Taikoo Shing Road,Taikoo Shing,Hong Kong.",Not Applicable,"HK$21,375,106",12 Aug 2013,MTR_Tender_Aug13_table1.csv,2013,Aug13,https://www.mtr.com.hk/en/corporate/tenders/Aug13.html
1153,Selective,Tunnel ECS for SCL Phase 1,"Shinryo Corporation5/F, Guardian House,32 Oi Kwan Road,Wanchai,Hong Kong.",Not Applicable,"HK$188,992,283",12 Aug 2013,MTR_Tender_Aug13_table1.csv,2013,Aug13,https://www.mtr.com.hk/en/corporate/tenders/Aug13.html
1169,Selective,Communications System for SCL Phase 1,"Siemens Limited22/F AIA Kowloon Tower,Landmark East,100 How Ming Street,Kwun Tong,Kowloon, Hong Kong.",Not Applicable,"HK$431,299,430",23 Aug 2013,MTR_Tender_Aug13_table1.csv,2013,Aug13,https://www.mtr.com.hk/en/corporate/tenders/Aug13.html
Q026834,Selective,Provision of Term Customer Service Personnel at Elements,"Worldwide Flight Services Holding S.A.Worldwide House 1501a,19 Des Voeux Road,Central,Hong Kong.",Not Applicable,"HK$54,240,744",08 Aug 2013,MTR_Tender_Aug13_table1.csv,2013,Aug13,https://www.mtr.com.hk/en/corporate/tenders/Aug13.html
K0444-12E,Selective,Procurement of 28 Double-decker Buses,"Alexander Dennis (Asia Pacific) Ltd3rd Floor, CAC Tower,165 Hoi Bun Road,Kwun Tong,Kowloon, Hong Kong.",28 Nos.,"HK$95,804,300",9 Jan 2013,MTR_Tender_Jan13_table1.csv,2013,Jan13,https://www.mtr.com.hk/en/corporate/tenders/Jan13.html
K0855-12E,Selective,Replacement of Light Rail Ticket Issuing Machines,"ERG Transit Systems (HK) LtdUnit A, 4/F, First Group Centre,14 Wang Tai Road,Kowloon Bay,Kowloon, Hong Kong.",Not Applicable,"HK$36,601,133",8 Jan 2013,MTR_Tender_Jan13_table1.csv,2013,Jan13,https://www.mtr.com.hk/en/corporate/tenders/Jan13.html
M1038-12E,Selective,Maintenance Services for Platform Screen Doors and Automatic Platform Gates in MTR (Packages A&B),"Gilgen Door Systems AG1121-1123 Hollywood Plaza,610 Nathan Road,Mongkok,Kowloon, Hong Kong.",Not Applicable,"HK$39,331,016",28 Jan 2013,MTR_Tender_Jan13_table1.csv,2013,Jan13,https://www.mtr.com.hk/en/corporate/tenders/Jan13.html
M1038-12E,Selective,Maintenance Services for Platform Screen Doors and Automatic Platform Gates in MTR (Packages C),"Otis Elevator Co (HK) LtdFlat 1501-07, 1511-16, 15/F, Cityplaza One,111 King's Road,Taikoo Shing,Hong Kong.",Not Applicable,"HK$15,332,987",28 Jan 2013,MTR_Tender_Jan13_table1.csv,2013,Jan13,https://www.mtr.com.hk/en/corporate/tenders/Jan13.html
M1038-12E,Selective,Maintenance Services for Platform Screen Doors and Automatic Platform Gates in MTR (Packages D),"Faiveley Transport Far East Ltd21/F,9 Des Voeux Road West,Sheung Wan,Hong Kong.",Not Applicable,"HK$19,538,230",28 Jan 2013,MTR_Tender_Jan13_table1.csv,2013,Jan13,https://www.mtr.com.hk/en/corporate/tenders/Jan13.html
Q022554,Selective,Overhead and Jib Cranes,"Associated Engineers Ltd23/F, Stelux House,698 Prince Edward Road East,San Po Kong,Kowloon, Hong Kong.",1 Job,"HK$3,590,100",8 Jan 2013,MTR_Tender_Jan13_table1.csv,2013,Jan13,https://www.mtr.com.hk/en/corporate/tenders/Jan13.html
C6591-13C,Selective,Provision of Lift Shaft at YMT,"Goldfield N & W Construction Co Ltd2/F, Air Goal Cargo Building,330 Kwun Tong Road,Kwun Tong,Kowloon, Hong Kong.",Not Applicable,"HK$60,880,000",11 May 2013,MTR_Tender_May13_table1.csv,2013,May13,https://www.mtr.com.hk/en/corporate/tenders/May13.html
K0109-11C,Selective,Station Commercial and Improvement Works at FOT,"Chun Wo Construction & Engineering Co Ltd5C, HK Spinners Industrial Bldg Phase 1,601-603 Tai Nan West Street,Cheung Sha Wan,Kowloon, Hong Kong.",Not Applicable,"HK$101,000,000",7 May 2013,MTR_Tender_May13_table1.csv,2013,May13,https://www.mtr.com.hk/en/corporate/tenders/May13.html
Q022102,Selective,Supply of Door Leaf for Trains,"Ultimate (Australia) Transportation Equipment Pty Ltd23 Carl Court, Hallam,Victoria, 3803,Australia.",1 Job,"HK$2,264,350",7 May 2013,MTR_Tender_May13_table1.csv,2013,May13,https://www.mtr.com.hk/en/corporate/tenders/May13.html
